biosampleId	id	individualId	libraryLayout	librarySelection	librarySource.id	librarySource.label	libraryStrategy	platform	platformModel.id	platformModel.label	runDate
OneK1K_1066	RUN71	OneK1K_1066	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_60	RUN72	OneK1K_60	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_575	RUN73	OneK1K_575	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_544	RUN74	OneK1K_544	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_1081	RUN75	OneK1K_1081	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_349	RUN76	OneK1K_349	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_617	RUN77	OneK1K_617	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_940	RUN78	OneK1K_940	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_289	RUN79	OneK1K_289	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_392	RUN80	OneK1K_392	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_622	RUN81	OneK1K_622	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_168	RUN82	OneK1K_168	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_774	RUN83	OneK1K_774	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_351	RUN84	OneK1K_351	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_534	RUN85	OneK1K_534	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_336	RUN86	OneK1K_336	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_985	RUN87	OneK1K_985	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_1054	RUN88	OneK1K_1054	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_1033	RUN89	OneK1K_1033	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_822	RUN90	OneK1K_822	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_426	RUN91	OneK1K_426	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_1001	RUN92	OneK1K_1001	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_187	RUN93	OneK1K_187	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_427	RUN94	OneK1K_427	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_203	RUN95	OneK1K_203	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_674	RUN96	OneK1K_674	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_270	RUN97	OneK1K_270	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_1045	RUN98	OneK1K_1045	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_227	RUN99	OneK1K_227	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_808	RUN100	OneK1K_808	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_910	RUN101	OneK1K_910	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_220	RUN102	OneK1K_220	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_43	RUN103	OneK1K_43	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_833	RUN104	OneK1K_833	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_669	RUN105	OneK1K_669	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_341	RUN106	OneK1K_341	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_791	RUN107	OneK1K_791	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_529	RUN108	OneK1K_529	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_576	RUN109	OneK1K_576	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_52	RUN110	OneK1K_52	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_447	RUN111	OneK1K_447	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_237	RUN112	OneK1K_237	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_321	RUN113	OneK1K_321	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_274	RUN114	OneK1K_274	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_543	RUN115	OneK1K_543	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_884	RUN116	OneK1K_884	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_312	RUN117	OneK1K_312	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_81	RUN118	OneK1K_81	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_210	RUN119	OneK1K_210	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_992	RUN120	OneK1K_992	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_633	RUN121	OneK1K_633	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_688	RUN122	OneK1K_688	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_738	RUN123	OneK1K_738	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_347	RUN124	OneK1K_347	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_46	RUN125	OneK1K_46	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_790	RUN126	OneK1K_790	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_961	RUN127	OneK1K_961	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_437	RUN128	OneK1K_437	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_707	RUN129	OneK1K_707	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_562	RUN130	OneK1K_562	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_77	RUN131	OneK1K_77	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_741	RUN132	OneK1K_741	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_634	RUN133	OneK1K_634	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_605	RUN134	OneK1K_605	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_597	RUN135	OneK1K_597	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_304	RUN136	OneK1K_304	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_548	RUN137	OneK1K_548	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_710	RUN138	OneK1K_710	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_582	RUN139	OneK1K_582	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_516	RUN140	OneK1K_516	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_923	RUN141	OneK1K_923	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_453	RUN142	OneK1K_453	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_178	RUN143	OneK1K_178	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_895	RUN144	OneK1K_895	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_243	RUN145	OneK1K_243	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_78	RUN146	OneK1K_78	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_483	RUN147	OneK1K_483	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_275	RUN148	OneK1K_275	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_479	RUN149	OneK1K_479	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
OneK1K_452	RUN150	OneK1K_452	PAIRED	RANDOM	GENEPIO:0001966	genomic Source	Genotyping microarray	Illumina	OBI:0002048	Illumina HiSeq 2000	2015-09-30
